no,username,handle,tweet_text
120,Indian Troll Lover,@trollove1,Nice time for bogus #Khalistani accounts to infiltrate their agenda of 'Panjab vs India'
121,Arjun_Ambedkar_TS,@Telangana_CM_,This guy is a khalistani supporter
122,BJP Maduravoyal South 155 mandalam,@RamAnand155,"Her berserk reaction and blatant misinformation proves that she is one of those ' Agents' Indians should be careful about. The ones supporting her follow and are followed by the known, blacklisted enemies of including 'ShockingSwine' & Khalistani handles in @SortedEagle"
123,Nationalist_Soul,@HellRiderD1,Who are they?? Farmers or Khalistani??
124,unknown_2217,@BeraPrabhas,These are Khalistani farmers too:
125,All India Trinamool Congress,@AITCofficial,"#WATCH | Kolkata: West Bengal Minister Shashi Panja says, ""...The BJP leaders including central and state think it's their birthright to brand people as Khalistani and anti-national. What is more unfortunate is that they don't have the courage to ask for forgiveness..."
126,Indian Troll Lover,@trollove1,"Today, a delegation of the Sikh community delegation met with the Governor, presenting an official deputation. They expressed deep dismay at @SuvenduWB 's offensive 'Khalistani' slur, seeking redressal and demanding respect for their identity. Discriminatory language has no"
127,Sankk,@sanket2103,Why should you care about the Arctic? Because what happens in the Arctic doesn
128,Saayoni Ghosh,@sayani06,There is not a single real farmer in this protest. There are these three groups on the field disguised as farmers : 1. Left leaning farmer associations 2. Pro khalistani groups 3. Party members of Congress n AAP
129,Porus,@porusofpanjab,High resolution cameras have come in handy for Haryana Police. They have identified the protesters (read Khalistani) and have decided to cancel the visa and passport with the help of Passport office and MHA. What a great way to teach this fake annadatas a lesson. Sataaak
130,Trunicle,@trunicle,"Not able to decide the monthly rate for going to #FarmerProtest border, 35 thousand or 40 thousand. Such videos should not come out otherwise these Khalistani movement leaders will be exposed."
131,Tmp,@allizpolitiks,Glad Sikh religion still have Real Sikhs who are able to see who is tarnishing Sikh religion name globally and fearlessly exposing them. Level of Khalistani Sikh criminal activities.
132,OpIndia.com,@OpIndia_com,Symptoms of their Ecosystem: They want Bharat should send food to Gaza. They support Khalistani agenda and support the farmers protest. They want proof of rapes happened in #Sandeshkhali. They call Modi a fascist and non-democratic but consider Mamata Banerjee an ardent
133,"SanghiDentico,",@priyathedentico,It's a battle of Perception & #Modi Sarkar knows it has won it. Time to show Fake Farmers their ï¿
134,JIX5A,@JIX5A,"Oh no #FakeFarmers from Punjab are in deep trouble Fakes will loose their visa, passports etc soon and their properties will be used for damage compensation"
135,Mona Patel,@MonaPatelT,Mastermind of fake farmers protest
136,JIX5A,@JIX5A,Fake farmers threatening the country's Prime Minister Narendra Modi and Haryana Chief Minister Manohar Lal ji. Turning farming machinery into weapons
137,Dr.Rajneesh Acharya,@DrRajneeshAcha1,Locals in Punjab discussing Fake Kisan Andolan 2024
138,Mohit Gahlot (ï¿,@_MohitGahlot_,Protesters trying to decide the monthly rate for going to Farmer Protests. This is how the Farzi farmer protests are planned. #FarmerProtestInDelhi #FarmersProtest2024
139,Farmers_Protest 2.0,@FarmersProtest_,Really too much democracy. #FarmersProtest2024
140,Harman (ï,@Harman_Zaildaar,"What will Hindus do now? #ShaheenBagh #FarmersProtests in 2022 #FarmersProtest2024 When the Muslims and Khalistanis can come on to the roads and protest, why cant Hindus? #Fre"
141,jokru,@jokru01,"In #Delhi's #ShambhuBorder, #HaryanaPolice fired tear gas at protesting farmers through drones. The farmers want to enter Delhi to protest for the Minimum Support Price (#MSP). #FarmerProtestInDelhi #FarmersProtest2024 #FarmersProtest"
142,Psychic soldier,@psychonaut39,Beautiful pics by my nikka bro!! @farmersprotest2024 Waheguru bless you . After what you have gone thru you show up stronger and more passionate .
143,Sangha/,@FarmStudiozzz,Terrorism of the Indian Gvt on the farmers. #FarmersProtest2024 #TerroristIndia
144,MaiamDigital,@MaiamDigital,Human cost of Farmers Protest as on 29 Feb 2024: Major cause of most deaths: Tear gas health effects Death Toll: 09 Injured: 170+ H
145,Tanveer Malik || ï,@tinderwale,Agitating Protestors asks reporter during #FarmersProtest2024: From where are you from? Reporter : BBC Protestors: They are our own people...
146,SP,@SPSSM,Kisan Majdoor Sangharsh Committee's Sarvan Singh Pandher coming back after facing a round of tear gas shelling. #FarmerProtest #FarmersProtest #FarmersProtest2024 #FarmerProtest2024 #FarmerProtestInDelhi
147,Kisan It Cell,@Kisan_ItCell,Worst than Nazis #FarmersProtest2024 #FarmersProtest #FarmersProtestInDelhi
148,HarshVivek Singh,@HVSBanwait,"After the death of a young farmer, Haryana Police threatening the farmer leaders with NSA and seizing properties is a searing oppression. The #FarmersProtest2024 is now a weeklong peaceful protest. Such brutal state terror, amidst ongoing negotiations between Union govt and"
149,Vikas Bku Ugrahan,@vikas_bku,"""Consciousness is only possible through change; change is only possible through movement"". Movements are built by people. #FarmersProtest #FarmersProtest2024"
150,Johan Barros,@JRFBarros,Road blockade at Rampura demanding registration of FIR for killing of Shubhkaran Singh #FarmersProtest2024
151,Villager Singh,@Villagerz_Singh,#FarmersProtest2024 Kisan unity long live
152,Indian Troll Lover,@trollove1,Absolute Ugliest Truth #FarmersProtest #FarmersProtest2024
153,YogeshMeena,@Yogeshkherli,Whoever dubbed it did a great job. It's hilarious. #FarmersProtest #FarmersProtest2024
154,Villager Singh,@Villagerz_Singh,"When this Kisan Andolan was planned in Dec-Jan by us few not so famous Unions, did anyone bel"
155,Villager Singh,@Villagerz_Singh,About upcoming in June 24 #FarmersProtest2024 #JusticeForSidhuMoosewala @jdhillonA @turja_tu @Akaur_07 @khushdil_jatt @amanveer_sandhu @sandhumannu0476 @Harpree62510923 @adityachopra34 @Randeep44009128 @MandeepKaurKhi1 @Akanksh76061458 @Gurwind45589679 @Ak47gill
156,Farmers_Protest 2.0,@FarmersProtest_,"Farmers are sitting peacefully,stop saying they are terrorist, they feed you. #FarmersProtest2024 #FarmersProtest"
